id;tipo_evaluacion;id_examen;id_acta;fecha;puntos_logrados;porcentaje;comentarios;alumnos_id
1;Public-key Pelota;60848;95828;2023-03-13;59804;92267;Navarra;1
2;Rampa Account Cuentas;86687;17783;2023-03-13;50471;13;recíproca transition;2
3;Hogar Cataluña moderador;48111;67740;2023-03-13;7342;19934;Pre-emptivo system;3
4;Avon Guapo;41274;74916;2023-03-13;56825;51195;copy;4
5;Bajada Colegio;31688;78880;2023-03-13;8791;99426;hack Silver;5
6;Versatil Torrente Berkshire;22678;93321;2023-03-13;1944;30574;Bebes payment;6
7;navigating;84219;17065;2023-03-13;75673;80699;Plástico Progresivo;7
8;THX next-generation;80611;19509;2023-03-13;88350;54791;evolve Plástico;8
9;Arroyo Videojuegos Web;43205;31744;2023-03-13;6348;9222;distributed Buckinghamshire;9
10;Algodón Parque redundant;49595;30977;2023-03-13;97208;95022;Global;10
