id;fecha;factura_nro;timbrado;punto_expedicion;sucursal;razon_social;ruc;condicion_venta;total;estado;posee_nc
1;2023-11-16;Decoración intuitive SMTP;73779;60994;77077;Hong firmware Castilla;world-class front-end;CONTADO;37829;PAGADO;true
2;2023-11-15;Universal Senior Director;40550;20220;54903;Sudán Deportes;generate Rand driver;CONTADO;71050;ANULADO;true
3;2023-11-15;overriding deposit;29879;4217;65258;neutral virtual Castilla;recontextualize Refinado Totalmente;CONTADO;18520;PENDIENTE;true
4;2023-11-15;Cambridgeshire;15621;32283;8999;monitorizar Castilla-La;Usabilidad metrics Usabilidad;CONTADO;62985;PENDIENTE;true
5;2023-11-15;Pelota Account;60774;66952;20519;Franc Marroquinería;connect;CONTADO;50062;ENTREGADO;false
6;2023-11-15;array calculate Buckinghamshire;2616;96745;58741;bandwidth;Borders bluetooth RSS;CONTADO;33072;PENDIENTE;false
7;2023-11-15;alarm array;34878;55189;62024;Amarillo copy;Algodón Tajikistan;CONTADO;49873;PAGADO;false
8;2023-11-15;infrastructures users;76348;92855;16707;partnerships Bicicleta;Negro;CONTADO;56046;PAGADO;true
9;2023-11-15;Salida Gorro;91197;48735;84987;India;Zimbabwe;CONTADO;20694;PAGADO;false
10;2023-11-15;Buckinghamshire;81683;31650;7807;Ensalada Verde;Pequeño Mesa Credit;CONTADO;70508;PAGADO;false
