id;nombre_contrincante;duracion;winner;resultado;comentarios;nombre_arbitro;torneos_id
1;portal;59398;navigate orquestar;Clonado Datos;HTTP maximize;generating local;1
2;global COM back-end;98799;multi-byte;Oficial Salchichas alarm;bandwidth Algodón;Loan Leone e-enable;2
3;Bricolaje Deportes Global;1902;Bedfordshire;FTP compressing;fritas mediante ADP;unleash interactiva Tonga;3
4;Borders Horizontal;24880;Heredado Compartible;Ladrillo Nacional withdrawal;Puente Pescado Saudí;customized Perseverando;4
5;Inteligente withdrawal;23750;Refinado Colegio;Belarussian plug-and-play Metal;auxiliary Ejecutivo Soluciones;haptic;5
6;Ferrocarril;60333;Mesa Cliente;Refinado e-markets;Integración 1080p Market;Mesa bricks-and-clicks;6
7;input indexing;38581;Facilitador Fácil;Toallas virtual content;Cliente microchip;proyección systems;7
8;Bacon Práctico;17787;Buckinghamshire Portugal;grow;bandwidth de withdrawal;Heredado scale;8
9;bluetooth;65268;Representante web-enabled;Rústico;Avon scalable withdrawal;Account invoice;9
10;Verde Joyería Rojo;22349;Sorprendente Acero BCEAO;withdrawal Pelota;Savings Ejecutivo Bacon;pixel;10
