id;descripcion;estado;cantidad
1;synthesizing;Increible Castilla-La Verde;68324
2;Central Planificador;Account 24/365 Checking;31450
3;Hormigon Cambridgeshire Calle;invoice Marroquinería estable;53014
4;markets Comunidad Directo;Artesanal International Seguridada;21024
5;array;Coche Verde Inteligente;60539
6;Artesanal estructura;Bicicleta infrastructures Avon;59595
7;Granito solid;Informática Global;44701
8;División funcionalidad;enable alarm;8379
9;Account Francia desafío;Rincón quantifying;49186
10;revolutionize granular;Polígono;63779
