id;concepto;monto;fecha_inscripcion;fecha_inicio;fecha_pago;estado;alumno_id
1;Pizza Account Savings;65206;2023-11-15;2023-11-15;2023-11-15;ANULADO;1
2;Algodón Avanzado;11019;2023-11-16;2023-11-15;2023-11-15;PENDIENTE;2
3;Verde Guapo;83485;2023-11-15;2023-11-15;2023-11-15;PAGADO;3
4;Amarillo;89956;2023-11-15;2023-11-15;2023-11-15;PENDIENTE;4
5;Madera Loan Blanco;50602;2023-11-15;2023-11-15;2023-11-15;ANULADO;5
6;bus Chalet matrix;90826;2023-11-15;2023-11-15;2023-11-15;PAGADO;6
7;Pescado Guinea infrastructures;16490;2023-11-15;2023-11-15;2023-11-15;PAGADO;7
8;PCI;74516;2023-11-15;2023-11-15;2023-11-15;PAGADO;8
9;Parafarmacia;2594;2023-11-15;2023-11-15;2023-11-15;PENDIENTE;9
10;Marketing;97379;2023-11-15;2023-11-15;2023-11-15;PAGADO;10
