id;monto_pago;monto_inicial;saldo;fecha_registro;fecha_pago;tipo_pago;descripcion;id_usuario_registro;alumnos_id;funcionarios_id
1;95750;60694;35926;2023-03-13;2023-03-13;didactica Silla niches;metrics Andalucía Unit;89975;1;1
2;34509;17423;25368;2023-03-13;2023-03-13;Ucrania 1080p;Berkshire XSS FTP;35391;2;2
3;69086;44705;74099;2023-03-13;2023-03-13;Ucrania Cuba;generación Account;92705;3;3
4;89702;48805;41721;2023-03-13;2023-03-13;infraestructura payment tangible;auxiliary synthesize;5153;4;4
5;48082;97221;19855;2023-03-13;2023-03-13;Plástico;Metal unleash;18370;5;5
6;72756;62367;99605;2023-03-13;2023-03-13;Programa;tangible Noruega País;53242;6;6
7;59597;15832;67439;2023-03-13;2023-03-13;Grupo;Cedi connecting EXE;98640;7;7
8;4815;35106;92295;2023-03-13;2023-03-13;hacking Azul Pizza;Guapo program;96136;8;8
9;35407;88012;59632;2023-03-13;2023-03-13;Guinea up El;Asistente communities;58331;9;9
10;2587;45111;53420;2023-03-13;2023-03-13;multi-byte;Polígono Indonesia acompasada;27013;10;10
