id;fecha_prestamo;fecha_devolucion;estado;observaciones;materiales_id;alumnos_id
1;2023-11-15;2023-11-15;DEVUELTO;Account bricks-and-clicks drive;1;1
2;2023-11-15;2023-11-15;PRESTADO;expedite;2;2
3;2023-11-15;2023-11-15;PRESTADO;proyección;3;3
4;2023-11-15;2023-11-15;PRESTADO;Pound interactiva;4;4
5;2023-11-15;2023-11-15;PRESTADO;connect;5;5
6;2023-11-15;2023-11-15;PRESTADO;feed Ergonómico;6;6
7;2023-11-15;2023-11-15;PRESTADO;Librería;7;7
8;2023-11-15;2023-11-15;VENCIDO;inversa Acero Berkshire;8;8
9;2023-11-15;2023-11-15;DEVUELTO;FTP objetos Marks;9;9
10;2023-11-15;2023-11-15;PRESTADO;paradigms Cuentas Ladrillo;10;10
