id;nombre_sucursal;direccion;numero_establecimiento
1;auxiliary;cross-platform National;Inverse bypass
2;Small;Loan Rustic Table;Hollow Indiana
3;Dynamic Avon;Manat platforms Research;Crossing
4;JBOD Progressive;input Buckinghamshire;tan Devolved Senior
5;Bike Communications Strategist;Square SMTP Chicken;metrics AI Graphical
6;best-of-breed Human;Dakota;Mountain
7;architect;Fish application;cross-media cyan back-end
8;Fresh;Chicken;Account plum e-services
9;Analyst Movies;systematic Analyst;payment
10;Manager;payment;Utah ivory
