id;codigo;titulo;descripcion
1;Adelante Innovador;relationships homogénea explícita;Bedfordshire
2;Supervisor;Comunicaciones Aplicaciones;Acero Agente
3;Perseverando Director Escalinata;dedicada invoice;Borders sensor
4;Cambridgeshire;metodologías Productor;Blanco application
5;protocol Bebes;Hogar;Total
6;optical Navarra;Gris;Papelería Guapa
7;Eritrea iterate Extendido;artificial Solar Account;Berkshire Barbados orientada
8;e-markets Parcela Director;Ordenador invoice Francia;Representante connecting en
9;Pantalones;Acero Artesanal fidelidad;ROI
10;Gorro Municipio navigating;invoice;transicional
