id;nombre_torneo;fecha_inicio;fecha_fin;lugar;tiempo;tipo_torneo;torneo_evaluado;federado
1;SQL Optimización Artesanal;2023-03-13;2023-03-13;parse;interface Monitorizado 1080p;Checking Brasil;false;false
2;Galicia;2023-03-13;2023-03-13;Ramal Global architectures;Investment copying invoice;invoice;false;true
3;revolutionary;2023-03-13;2023-03-13;Cataluña;Implementado Rioja;middleware;true;false
4;Hogar;2023-03-13;2023-03-13;Extremadura Lempira Auto;Heredado Masía dot-com;amplio Account deposit;true;false
5;UAE invoice Acero;2023-03-13;2023-03-13;Bricolaje THX;Mobilidad sensor;payment leading-edge;true;true
6;Estratega Guantes;2023-03-13;2023-03-13;León explícita;matrix Dinánmico Bacon;Violeta;true;false
7;Inteligente;2023-03-13;2023-03-13;e-services protocol Rufiyaa;funcionalidad deposit Martinica;Arquitecto parsing Baht;true;false
8;Investigación;2023-03-13;2023-03-13;copying;Checking;Won;true;false
9;generación;2023-03-13;2023-03-13;connect;connect Compatible web-readiness;Negro Hogar deposit;true;true
10;Personal;2023-03-13;2023-03-13;vortals;estable payment primary;Honduras;false;true
